{'loss': 2.6159, 'grad_norm': nan, 'learning_rate': 0.0, 'epoch': 0.0}
{'loss': 0.349, 'grad_norm': 8.330089569091797, 'learning_rate': 6.28e-06, 'epoch': 0.51}
{'loss': 0.3166, 'grad_norm': 6.759525299072266, 'learning_rate': 6.48e-06, 'epoch': 0.53}
{'loss': 0.3038, 'grad_norm': 4.730442047119141, 'learning_rate': 6.68e-06, 'epoch': 0.54}
{'loss': 0.3062, 'grad_norm': 9.552364349365234, 'learning_rate': 6.88e-06, 'epoch': 0.56}
{'loss': 0.281, 'grad_norm': 8.082392692565918, 'learning_rate': 7.080000000000001e-06, 'epoch': 0.58}
{'loss': 0.2756, 'grad_norm': 4.723806858062744, 'learning_rate': 7.280000000000001e-06, 'epoch': 0.59}
{'loss': 0.2306, 'grad_norm': 5.569098949432373, 'learning_rate': 7.480000000000001e-06, 'epoch': 0.61}
{'loss': 0.2762, 'grad_norm': 11.546184539794922, 'learning_rate': 7.68e-06, 'epoch': 0.62}
{'loss': 0.271, 'grad_norm': 8.031397819519043, 'learning_rate': 7.879999999999999e-06, 'epoch': 0.64}
{'loss': 0.2517, 'grad_norm': 8.24333381652832, 'learning_rate': 8.08e-06, 'epoch': 0.66}
{'loss': 0.2556, 'grad_norm': 5.225813388824463, 'learning_rate': 8.28e-06, 'epoch': 0.67}
{'loss': 0.2538, 'grad_norm': 4.246774673461914, 'learning_rate': 8.48e-06, 'epoch': 0.69}
{'loss': 0.2097, 'grad_norm': 4.243789196014404, 'learning_rate': 8.68e-06, 'epoch': 0.7}
{'loss': 0.2502, 'grad_norm': 7.913233280181885, 'learning_rate': 8.880000000000001e-06, 'epoch': 0.72}
{'loss': 0.2492, 'grad_norm': 9.718345642089844, 'learning_rate': 9.080000000000001e-06, 'epoch': 0.74}
{'loss': 0.2374, 'grad_norm': 4.758498191833496, 'learning_rate': 9.28e-06, 'epoch': 0.75}
{'loss': 0.2278, 'grad_norm': 4.481202125549316, 'learning_rate': 9.48e-06, 'epoch': 0.77}
{'loss': 0.1854, 'grad_norm': 3.2115373611450195, 'learning_rate': 9.68e-06, 'epoch': 0.78}
{'loss': 0.1867, 'grad_norm': 3.4412474632263184, 'learning_rate': 9.88e-06, 'epoch': 0.8}
{'loss': 0.2236, 'grad_norm': 4.761852741241455, 'learning_rate': 1.008e-05, 'epoch': 0.82}
{'loss': 0.1843, 'grad_norm': 3.71826434135437, 'learning_rate': 1.0280000000000002e-05, 'epoch': 0.83}
{'loss': 0.2143, 'grad_norm': 2.950517177581787, 'learning_rate': 1.0480000000000001e-05, 'epoch': 0.85}
{'loss': 0.2053, 'grad_norm': 3.5053060054779053, 'learning_rate': 1.0680000000000001e-05, 'epoch': 0.86}
{'loss': 0.2099, 'grad_norm': 2.904412031173706, 'learning_rate': 1.088e-05, 'epoch': 0.88}
{'loss': 0.1897, 'grad_norm': 5.486221790313721, 'learning_rate': 1.108e-05, 'epoch': 0.9}
{'loss': 0.1609, 'grad_norm': 5.66600227355957, 'learning_rate': 1.128e-05, 'epoch': 0.91}
{'loss': 0.1665, 'grad_norm': 1.9008944034576416, 'learning_rate': 1.148e-05, 'epoch': 0.93}
{'loss': 0.1673, 'grad_norm': 3.8760247230529785, 'learning_rate': 1.168e-05, 'epoch': 0.94}
{'loss': 0.217, 'grad_norm': 6.78792667388916, 'learning_rate': 1.1880000000000001e-05, 'epoch': 0.96}
{'loss': 0.1911, 'grad_norm': 3.4196205139160156, 'learning_rate': 1.2080000000000001e-05, 'epoch': 0.98}
{'loss': 0.1473, 'grad_norm': 6.648539066314697, 'learning_rate': 1.2280000000000001e-05, 'epoch': 0.99}
{'loss': 0.1483, 'grad_norm': 4.481467247009277, 'learning_rate': 1.248e-05, 'epoch': 1.01}
{'loss': 0.1528, 'grad_norm': 3.691154718399048, 'learning_rate': 1.268e-05, 'epoch': 1.03}
{'loss': 0.1694, 'grad_norm': 2.722341299057007, 'learning_rate': 1.288e-05, 'epoch': 1.04}
{'loss': 0.1613, 'grad_norm': 6.943815231323242, 'learning_rate': 1.308e-05, 'epoch': 1.06}
{'loss': 0.1628, 'grad_norm': 2.0816664695739746, 'learning_rate': 1.3280000000000002e-05, 'epoch': 1.07}
{'loss': 0.1498, 'grad_norm': 25.477340698242188, 'learning_rate': 1.3480000000000001e-05, 'epoch': 1.09}
{'loss': 0.1638, 'grad_norm': 6.758240699768066, 'learning_rate': 1.3680000000000001e-05, 'epoch': 1.11}
{'loss': 0.1689, 'grad_norm': 4.385688781738281, 'learning_rate': 1.3880000000000001e-05, 'epoch': 1.12}
{'loss': 0.1503, 'grad_norm': 22.13286590576172, 'learning_rate': 1.408e-05, 'epoch': 1.14}
{'loss': 0.1626, 'grad_norm': 6.978797912597656, 'learning_rate': 1.4280000000000002e-05, 'epoch': 1.15}
{'loss': 0.1247, 'grad_norm': 3.905177593231201, 'learning_rate': 1.4480000000000002e-05, 'epoch': 1.17}
{'loss': 0.1264, 'grad_norm': 2.9044172763824463, 'learning_rate': 1.4680000000000002e-05, 'epoch': 1.19}
{'loss': 0.1425, 'grad_norm': 4.280125617980957, 'learning_rate': 1.488e-05, 'epoch': 1.2}
{'loss': 0.1219, 'grad_norm': 2.849982500076294, 'learning_rate': 1.508e-05, 'epoch': 1.22}
{'loss': 0.1321, 'grad_norm': 3.28334641456604, 'learning_rate': 1.528e-05, 'epoch': 1.23}
{'loss': 0.1349, 'grad_norm': 2.6276464462280273, 'learning_rate': 1.548e-05, 'epoch': 1.25}
{'loss': 0.1344, 'grad_norm': 4.179471492767334, 'learning_rate': 1.568e-05, 'epoch': 1.27}
{'loss': 0.1474, 'grad_norm': 4.6357741355896, 'learning_rate': 1.588e-05, 'epoch': 1.28}
{'loss': 0.1288, 'grad_norm': 3.838320255279541, 'learning_rate': 1.6080000000000002e-05, 'epoch': 1.3}
{'loss': 0.1282, 'grad_norm': 6.722947597503662, 'learning_rate': 1.628e-05, 'epoch': 1.31}
{'loss': 0.1342, 'grad_norm': 1.315665364265442, 'learning_rate': 1.648e-05, 'epoch': 1.33}
{'loss': 0.1136, 'grad_norm': 2.7812929153442383, 'learning_rate': 1.668e-05, 'epoch': 1.35}
{'loss': 0.1285, 'grad_norm': 3.18548583984375, 'learning_rate': 1.688e-05, 'epoch': 1.36}
{'loss': 0.1321, 'grad_norm': 4.05173921585083, 'learning_rate': 1.7080000000000002e-05, 'epoch': 1.38}
{'loss': 0.1356, 'grad_norm': 5.765076160430908, 'learning_rate': 1.728e-05, 'epoch': 1.39}
{'loss': 0.1276, 'grad_norm': 2.739452838897705, 'learning_rate': 1.7480000000000002e-05, 'epoch': 1.41}
{'loss': 0.1285, 'grad_norm': 2.751894474029541, 'learning_rate': 1.7680000000000004e-05, 'epoch': 1.43}
{'loss': 0.1251, 'grad_norm': 2.5319271087646484, 'learning_rate': 1.7879999999999998e-05, 'epoch': 1.44}
{'loss': 0.1274, 'grad_norm': 1.945908784866333, 'learning_rate': 1.808e-05, 'epoch': 1.46}
{'loss': 0.1323, 'grad_norm': 1.6208465099334717, 'learning_rate': 1.828e-05, 'epoch': 1.47}
{'loss': 0.1265, 'grad_norm': 3.834073066711426, 'learning_rate': 1.848e-05, 'epoch': 1.49}
{'loss': 0.1159, 'grad_norm': 3.798844814300537, 'learning_rate': 1.868e-05, 'epoch': 1.51}
{'loss': 0.1252, 'grad_norm': 46.97869110107422, 'learning_rate': 1.888e-05, 'epoch': 1.52}
{'loss': 0.126, 'grad_norm': 2.519958972930908, 'learning_rate': 1.908e-05, 'epoch': 1.54}
{'loss': 0.1152, 'grad_norm': 11.93581771850586, 'learning_rate': 1.9280000000000002e-05, 'epoch': 1.55}
{'loss': 0.0917, 'grad_norm': 2.6146278381347656, 'learning_rate': 1.948e-05, 'epoch': 1.57}
{'loss': 0.1116, 'grad_norm': 1.445147156715393, 'learning_rate': 1.968e-05, 'epoch': 1.59}
{'loss': 0.1061, 'grad_norm': 6.500429630279541, 'learning_rate': 1.9880000000000003e-05, 'epoch': 1.6}
{'loss': 0.1184, 'grad_norm': 11.469894409179688, 'learning_rate': 2.008e-05, 'epoch': 1.62}
{'loss': 0.0995, 'grad_norm': 9.731851577758789, 'learning_rate': 2.0280000000000002e-05, 'epoch': 1.63}
{'loss': 0.0942, 'grad_norm': 5.4549560546875, 'learning_rate': 2.048e-05, 'epoch': 1.65}
{'loss': 0.1384, 'grad_norm': 2.7035369873046875, 'learning_rate': 2.0680000000000002e-05, 'epoch': 1.67}
{'loss': 0.1169, 'grad_norm': 3.0661604404449463, 'learning_rate': 2.0880000000000003e-05, 'epoch': 1.68}
{'loss': 0.0953, 'grad_norm': 2.9067254066467285, 'learning_rate': 2.1079999999999998e-05, 'epoch': 1.7}
{'loss': 0.0911, 'grad_norm': 1.24325692653656, 'learning_rate': 2.128e-05, 'epoch': 1.71}
{'loss': 0.1071, 'grad_norm': 2.9962615966796875, 'learning_rate': 2.148e-05, 'epoch': 1.73}
{'loss': 0.1259, 'grad_norm': 5.982135772705078, 'learning_rate': 2.168e-05, 'epoch': 1.75}
{'loss': 0.0988, 'grad_norm': 5.167084217071533, 'learning_rate': 2.188e-05, 'epoch': 1.76}
{'loss': 0.0858, 'grad_norm': 3.7976338863372803, 'learning_rate': 2.2080000000000002e-05, 'epoch': 1.78}
{'loss': 0.0946, 'grad_norm': 1.056963562965393, 'learning_rate': 2.228e-05, 'epoch': 1.79}
{'loss': 0.092, 'grad_norm': 1.4181681871414185, 'learning_rate': 2.248e-05, 'epoch': 1.81}
{'loss': 0.1004, 'grad_norm': 9.045690536499023, 'learning_rate': 2.268e-05, 'epoch': 1.83}
{'loss': 0.0977, 'grad_norm': 0.6718388795852661, 'learning_rate': 2.288e-05, 'epoch': 1.84}
{'loss': 0.0844, 'grad_norm': 2.9372575283050537, 'learning_rate': 2.3080000000000003e-05, 'epoch': 1.86}
{'loss': 0.0929, 'grad_norm': 0.8783873915672302, 'learning_rate': 2.328e-05, 'epoch': 1.87}
{'loss': 0.1151, 'grad_norm': 6.512360095977783, 'learning_rate': 2.3480000000000002e-05, 'epoch': 1.89}
{'loss': 0.0868, 'grad_norm': 2.144148111343384, 'learning_rate': 2.3680000000000004e-05, 'epoch': 1.91}
{'loss': 0.0854, 'grad_norm': 1.5247443914413452, 'learning_rate': 2.3880000000000002e-05, 'epoch': 1.92}
{'loss': 0.0919, 'grad_norm': 0.6705960035324097, 'learning_rate': 2.408e-05, 'epoch': 1.94}
{'loss': 0.0967, 'grad_norm': 2.9041593074798584, 'learning_rate': 2.428e-05, 'epoch': 1.95}
{'loss': 0.1041, 'grad_norm': 1.3763048648834229, 'learning_rate': 2.448e-05, 'epoch': 1.97}
{'loss': 0.1065, 'grad_norm': 3.4532649517059326, 'learning_rate': 2.468e-05, 'epoch': 1.99}
{'loss': 0.0975, 'grad_norm': 4.5615129470825195, 'learning_rate': 2.488e-05, 'epoch': 2.0}
{'loss': 0.0827, 'grad_norm': 1.0710922479629517, 'learning_rate': 2.5080000000000004e-05, 'epoch': 2.02}
{'loss': 0.0717, 'grad_norm': 2.1354870796203613, 'learning_rate': 2.5280000000000005e-05, 'epoch': 2.03}
{'loss': 0.0777, 'grad_norm': 5.5337700843811035, 'learning_rate': 2.5480000000000003e-05, 'epoch': 2.05}
{'loss': 0.107, 'grad_norm': 3.41225004196167, 'learning_rate': 2.5679999999999998e-05, 'epoch': 2.07}
{'loss': 0.0842, 'grad_norm': 2.0631649494171143, 'learning_rate': 2.588e-05, 'epoch': 2.08}
{'loss': 0.1061, 'grad_norm': 3.1482608318328857, 'learning_rate': 2.6079999999999998e-05, 'epoch': 2.1}
{'loss': 0.0947, 'grad_norm': 1.6823582649230957, 'learning_rate': 2.628e-05, 'epoch': 2.11}
{'loss': 0.0984, 'grad_norm': 5.441998481750488, 'learning_rate': 2.648e-05, 'epoch': 2.13}
{'loss': 0.0952, 'grad_norm': 4.768525123596191, 'learning_rate': 2.668e-05, 'epoch': 2.15}
{'loss': 0.0817, 'grad_norm': 9.021496772766113, 'learning_rate': 2.688e-05, 'epoch': 2.16}
{'loss': 0.0878, 'grad_norm': 1.5012495517730713, 'learning_rate': 2.7079999999999998e-05, 'epoch': 2.18}
{'loss': 0.0903, 'grad_norm': 1.6914892196655273, 'learning_rate': 2.728e-05, 'epoch': 2.19}
{'loss': 0.0855, 'grad_norm': 1.4793769121170044, 'learning_rate': 2.748e-05, 'epoch': 2.21}
{'loss': 0.112, 'grad_norm': 2.7348146438598633, 'learning_rate': 2.768e-05, 'epoch': 2.23}
{'loss': 0.0636, 'grad_norm': 4.807197570800781, 'learning_rate': 2.788e-05, 'epoch': 2.24}
{'loss': 0.0942, 'grad_norm': 2.2657523155212402, 'learning_rate': 2.8080000000000002e-05, 'epoch': 2.26}
{'loss': 0.1239, 'grad_norm': 1.6088922023773193, 'learning_rate': 2.828e-05, 'epoch': 2.27}
{'loss': 0.1051, 'grad_norm': 4.756392955780029, 'learning_rate': 2.8480000000000002e-05, 'epoch': 2.29}
{'loss': 0.0887, 'grad_norm': 1.9128308296203613, 'learning_rate': 2.868e-05, 'epoch': 2.31}
{'loss': 0.0761, 'grad_norm': 2.5654420852661133, 'learning_rate': 2.888e-05, 'epoch': 2.32}
{'loss': 0.0721, 'grad_norm': 4.303482532501221, 'learning_rate': 2.9080000000000003e-05, 'epoch': 2.34}
{'loss': 0.0764, 'grad_norm': 1.9121060371398926, 'learning_rate': 2.928e-05, 'epoch': 2.35}
{'loss': 0.0806, 'grad_norm': 2.3185603618621826, 'learning_rate': 2.9480000000000002e-05, 'epoch': 2.37}
{'loss': 0.0823, 'grad_norm': 1.3775659799575806, 'learning_rate': 2.9680000000000004e-05, 'epoch': 2.39}
{'loss': 0.0626, 'grad_norm': 2.271209955215454, 'learning_rate': 2.9880000000000002e-05, 'epoch': 2.4}
{'loss': 0.0886, 'grad_norm': 1.5052098035812378, 'learning_rate': 3.0080000000000003e-05, 'epoch': 2.42}
{'loss': 0.094, 'grad_norm': 2.4348955154418945, 'learning_rate': 3.028e-05, 'epoch': 2.43}
{'loss': 0.0753, 'grad_norm': 2.041379451751709, 'learning_rate': 3.0480000000000003e-05, 'epoch': 2.45}
{'loss': 0.0837, 'grad_norm': 0.8237754702568054, 'learning_rate': 3.0680000000000004e-05, 'epoch': 2.47}
{'loss': 0.0802, 'grad_norm': 2.02726149559021, 'learning_rate': 3.088e-05, 'epoch': 2.48}
{'loss': 0.0693, 'grad_norm': 2.4364521503448486, 'learning_rate': 3.108e-05, 'epoch': 2.5}
{'loss': 0.0968, 'grad_norm': 2.5397822856903076, 'learning_rate': 3.1280000000000005e-05, 'epoch': 2.51}
{'loss': 0.0699, 'grad_norm': 1.1198338270187378, 'learning_rate': 3.1480000000000004e-05, 'epoch': 2.53}
{'loss': 0.0815, 'grad_norm': 3.798001289367676, 'learning_rate': 3.168e-05, 'epoch': 2.55}
{'loss': 0.0847, 'grad_norm': 5.319821357727051, 'learning_rate': 3.188e-05, 'epoch': 2.56}
{'loss': 0.0938, 'grad_norm': 2.0420875549316406, 'learning_rate': 3.208e-05, 'epoch': 2.58}
{'loss': 0.1071, 'grad_norm': 2.5341708660125732, 'learning_rate': 3.2279999999999996e-05, 'epoch': 2.59}
{'loss': 0.0838, 'grad_norm': 1.1895962953567505, 'learning_rate': 3.248e-05, 'epoch': 2.61}
{'loss': 0.086, 'grad_norm': 1.1314440965652466, 'learning_rate': 3.268e-05, 'epoch': 2.63}
{'loss': 0.0851, 'grad_norm': 1.6544196605682373, 'learning_rate': 3.288e-05, 'epoch': 2.64}
{'loss': 0.0658, 'grad_norm': 0.791152834892273, 'learning_rate': 3.308e-05, 'epoch': 2.66}
{'loss': 0.0745, 'grad_norm': 7.053855895996094, 'learning_rate': 3.328e-05, 'epoch': 2.67}
{'loss': 0.0817, 'grad_norm': 3.9225637912750244, 'learning_rate': 3.348e-05, 'epoch': 2.69}
{'loss': 0.0884, 'grad_norm': 3.9741311073303223, 'learning_rate': 3.368e-05, 'epoch': 2.71}
{'loss': 0.0691, 'grad_norm': 1.5217888355255127, 'learning_rate': 3.388e-05, 'epoch': 2.72}
{'loss': 0.071, 'grad_norm': 2.004572868347168, 'learning_rate': 3.408e-05, 'epoch': 2.74}
{'loss': 0.08, 'grad_norm': 1.766698956489563, 'learning_rate': 3.4280000000000004e-05, 'epoch': 2.75}
{'loss': 0.0786, 'grad_norm': 1.2098618745803833, 'learning_rate': 3.448e-05, 'epoch': 2.77}
{'loss': 0.0681, 'grad_norm': 5.616888523101807, 'learning_rate': 3.468e-05, 'epoch': 2.79}
{'loss': 0.0677, 'grad_norm': 1.8373658657073975, 'learning_rate': 3.4880000000000005e-05, 'epoch': 2.8}
{'loss': 0.0826, 'grad_norm': 2.0977776050567627, 'learning_rate': 3.508e-05, 'epoch': 2.82}
{'loss': 0.0808, 'grad_norm': 0.45290836691856384, 'learning_rate': 3.528e-05, 'epoch': 2.83}
{'loss': 0.0762, 'grad_norm': 3.3741824626922607, 'learning_rate': 3.548e-05, 'epoch': 2.85}
{'loss': 0.0696, 'grad_norm': 2.2253787517547607, 'learning_rate': 3.5680000000000004e-05, 'epoch': 2.87}
{'loss': 0.0894, 'grad_norm': 1.5387095212936401, 'learning_rate': 3.588e-05, 'epoch': 2.88}
{'loss': 0.0862, 'grad_norm': 1.2907509803771973, 'learning_rate': 3.608e-05, 'epoch': 2.9}
{'loss': 0.0747, 'grad_norm': 1.2412053346633911, 'learning_rate': 3.6280000000000005e-05, 'epoch': 2.91}
{'loss': 0.0686, 'grad_norm': 1.8289968967437744, 'learning_rate': 3.648e-05, 'epoch': 2.93}
{'loss': 0.0531, 'grad_norm': 0.913266122341156, 'learning_rate': 3.668e-05, 'epoch': 2.95}
{'loss': 0.0675, 'grad_norm': 3.102088451385498, 'learning_rate': 3.6880000000000006e-05, 'epoch': 2.96}
{'loss': 0.0782, 'grad_norm': 3.913888454437256, 'learning_rate': 3.7080000000000004e-05, 'epoch': 2.98}
{'loss': 0.0776, 'grad_norm': 1.4784374237060547, 'learning_rate': 3.728e-05, 'epoch': 2.99}
{'loss': 0.0768, 'grad_norm': 4.648940086364746, 'learning_rate': 3.748000000000001e-05, 'epoch': 3.01}
{'loss': 0.077, 'grad_norm': 1.4397497177124023, 'learning_rate': 3.7680000000000005e-05, 'epoch': 3.03}
{'loss': 0.0747, 'grad_norm': 2.703716993331909, 'learning_rate': 3.788e-05, 'epoch': 3.04}
{'loss': 0.0837, 'grad_norm': 9.230047225952148, 'learning_rate': 3.808e-05, 'epoch': 3.06}
{'loss': 0.0852, 'grad_norm': 0.9182425737380981, 'learning_rate': 3.828e-05, 'epoch': 3.08}
{'loss': 0.0642, 'grad_norm': 2.887319564819336, 'learning_rate': 3.848e-05, 'epoch': 3.09}
{'loss': 0.0826, 'grad_norm': 2.0263960361480713, 'learning_rate': 3.868e-05, 'epoch': 3.11}
{'loss': 0.0672, 'grad_norm': 3.9515445232391357, 'learning_rate': 3.888e-05, 'epoch': 3.12}
{'loss': 0.1144, 'grad_norm': 1.7151200771331787, 'learning_rate': 3.908e-05, 'epoch': 3.14}
{'loss': 0.0724, 'grad_norm': 1.9242247343063354, 'learning_rate': 3.9280000000000003e-05, 'epoch': 3.16}
{'loss': 0.0611, 'grad_norm': 2.381162166595459, 'learning_rate': 3.948e-05, 'epoch': 3.17}
{'loss': 0.0726, 'grad_norm': 1.7552149295806885, 'learning_rate': 3.968e-05, 'epoch': 3.19}
{'loss': 0.0793, 'grad_norm': 2.7199275493621826, 'learning_rate': 3.988e-05, 'epoch': 3.2}
{'loss': 0.0617, 'grad_norm': 1.9142265319824219, 'learning_rate': 4.008e-05, 'epoch': 3.22}
{'loss': 0.0669, 'grad_norm': 4.811654567718506, 'learning_rate': 4.028e-05, 'epoch': 3.24}
{'loss': 0.0773, 'grad_norm': 5.305714130401611, 'learning_rate': 4.048e-05, 'epoch': 3.25}
{'loss': 0.0711, 'grad_norm': 1.3883163928985596, 'learning_rate': 4.0680000000000004e-05, 'epoch': 3.27}
{'loss': 0.0712, 'grad_norm': 1.5197231769561768, 'learning_rate': 4.088e-05, 'epoch': 3.28}
{'loss': 0.0588, 'grad_norm': 2.5238418579101562, 'learning_rate': 4.108e-05, 'epoch': 3.3}
{'loss': 0.0748, 'grad_norm': 1.4370018243789673, 'learning_rate': 4.1280000000000005e-05, 'epoch': 3.32}
{'loss': 0.0794, 'grad_norm': 0.9717387557029724, 'learning_rate': 4.148e-05, 'epoch': 3.33}
{'loss': 0.0727, 'grad_norm': 2.017364025115967, 'learning_rate': 4.168e-05, 'epoch': 3.35}
{'loss': 0.0565, 'grad_norm': 2.153510808944702, 'learning_rate': 4.1880000000000006e-05, 'epoch': 3.36}
{'loss': 0.072, 'grad_norm': 1.433272123336792, 'learning_rate': 4.2080000000000004e-05, 'epoch': 3.38}
{'loss': 0.0632, 'grad_norm': 2.7748188972473145, 'learning_rate': 4.228e-05, 'epoch': 3.4}
{'loss': 0.0845, 'grad_norm': 2.2965946197509766, 'learning_rate': 4.248e-05, 'epoch': 3.41}
{'loss': 0.059, 'grad_norm': 0.6788657903671265, 'learning_rate': 4.2680000000000005e-05, 'epoch': 3.43}
{'loss': 0.057, 'grad_norm': 2.92746639251709, 'learning_rate': 4.288e-05, 'epoch': 3.44}
{'loss': 0.0676, 'grad_norm': 1.5896012783050537, 'learning_rate': 4.308e-05, 'epoch': 3.46}
{'loss': 0.0696, 'grad_norm': 5.676123142242432, 'learning_rate': 4.3280000000000006e-05, 'epoch': 3.48}
{'loss': 0.0717, 'grad_norm': 1.3954463005065918, 'learning_rate': 4.3480000000000004e-05, 'epoch': 3.49}
{'loss': 0.0752, 'grad_norm': 3.4471263885498047, 'learning_rate': 4.368e-05, 'epoch': 3.51}
{'loss': 0.0782, 'grad_norm': 0.3698521852493286, 'learning_rate': 4.388000000000001e-05, 'epoch': 3.52}
{'loss': 0.0686, 'grad_norm': 1.2636958360671997, 'learning_rate': 4.4080000000000005e-05, 'epoch': 3.54}
{'loss': 0.0799, 'grad_norm': 3.0614466667175293, 'learning_rate': 4.428e-05, 'epoch': 3.56}
{'loss': 0.0652, 'grad_norm': 2.2089574337005615, 'learning_rate': 4.448e-05, 'epoch': 3.57}
{'loss': 0.077, 'grad_norm': 1.8151100873947144, 'learning_rate': 4.468e-05, 'epoch': 3.59}
{'loss': 0.0714, 'grad_norm': 2.5415892601013184, 'learning_rate': 4.488e-05, 'epoch': 3.6}
{'loss': 0.0756, 'grad_norm': 1.3507959842681885, 'learning_rate': 4.508e-05, 'epoch': 3.62}
{'loss': 0.0524, 'grad_norm': 2.4459123611450195, 'learning_rate': 4.528e-05, 'epoch': 3.64}
{'loss': 0.0902, 'grad_norm': 4.232356071472168, 'learning_rate': 4.548e-05, 'epoch': 3.65}
{'loss': 0.0891, 'grad_norm': 2.943894863128662, 'learning_rate': 4.568e-05, 'epoch': 3.67}
{'loss': 0.0708, 'grad_norm': 1.1565449237823486, 'learning_rate': 4.588e-05, 'epoch': 3.68}
{'loss': 0.05, 'grad_norm': 0.7384858727455139, 'learning_rate': 4.608e-05, 'epoch': 3.7}
{'loss': 0.0636, 'grad_norm': 5.0778656005859375, 'learning_rate': 4.6280000000000004e-05, 'epoch': 3.72}
{'loss': 0.0605, 'grad_norm': 2.361665964126587, 'learning_rate': 4.648e-05, 'epoch': 3.73}
{'loss': 0.0527, 'grad_norm': 8.361420631408691, 'learning_rate': 4.668e-05, 'epoch': 3.75}
{'loss': 0.0675, 'grad_norm': 1.0580564737319946, 'learning_rate': 4.688e-05, 'epoch': 3.76}
{'loss': 0.0697, 'grad_norm': 1.56380295753479, 'learning_rate': 4.708e-05, 'epoch': 3.78}
{'loss': 0.0653, 'grad_norm': 2.317516803741455, 'learning_rate': 4.728e-05, 'epoch': 3.8}
{'loss': 0.061, 'grad_norm': 2.9560482501983643, 'learning_rate': 4.748e-05, 'epoch': 3.81}
{'loss': 0.0619, 'grad_norm': 1.6100679636001587, 'learning_rate': 4.7680000000000004e-05, 'epoch': 3.83}
